chainage;advance;ring;easting;northing;tunnel_elev;surface_elev;soil_base_elev;soil_depth;lon;lat;tunnel_dir
392.81;121;134;119524.79;1214731.31;-1.00;94.35;63.28;30.72;10.849187377466;59.927211801927;297.54
394.61;122;135;119523.19;1214732.14;-0.99;94.19;63.89;30.11;10.849158821994;59.927219316450;297.44
396.41;123;136;119521.59;1214732.97;-0.98;94.15;64.22;29.78;10.849130241497;59.927226804702;297.34
398.21;124;137;119519.99;1214733.79;-0.97;94.10;65.02;28.98;10.849101632399;59.927234267589;297.24
400.01;125;138;119518.39;1214734.61;-0.97;94.12;65.44;28.60;10.849072998276;59.927241704204;297.13
401.81;126;139;119516.79;1214735.43;-0.96;94.17;66.26;27.87;10.849044337341;59.927249113642;297.03
403.61;127;140;119515.18;1214736.24;-0.95;94.28;67.10;27.10;10.849015651381;59.927256497715;296.93
405.41;128;141;119513.57;1214737.06;-0.94;95.14;67.48;26.81;10.848986936820;59.927263855516;296.82
407.21;129;142;119511.97;1214737.87;-0.94;94.83;68.31;26.06;10.848958199022;59.927271187951;296.72
409.01;130;143;119510.36;1214738.67;-0.93;94.29;68.73;25.73;10.848929434411;59.927278493209;296.62
410.81;131;144;119508.75;1214739.48;-0.92;94.09;69.47;25.08;10.848900641200;59.927285772196;296.51
412.61;132;145;119507.13;1214740.28;-0.91;94.09;70.18;24.45;10.848871824751;59.927293024912;296.41
414.41;133;146;119505.52;1214741.07;-0.91;94.14;70.52;24.21;10.848842983277;59.927300251356;296.31
416.21;134;147;119503.91;1214741.87;-0.90;94.13;71.32;23.51;10.848814114991;59.927307452434;296.21
418.01;135;148;119502.29;1214742.66;-0.89;94.10;71.69;23.23;10.848785219891;59.927314625430;296.10
419.81;136;149;119500.67;1214743.45;-0.88;94.66;72.40;22.59;10.848756301555;59.927321773060;296.00
421.61;137;150;119499.05;1214744.24;-0.88;95.26;72.94;22.06;10.848727356405;59.927328894418;295.89
423.41;138;151;119497.43;1214745.02;-0.87;95.28;73.24;21.76;10.848698386231;59.927335988599;295.79
425.21;139;152;119495.81;1214745.80;-0.86;95.33;73.45;21.55;10.848669392818;59.927343057415;295.69
427.01;140;153;119494.19;1214746.58;-0.86;95.27;73.54;21.46;10.848640372594;59.927350099053;295.58
428.81;141;154;119492.56;1214747.35;-0.85;95.26;73.76;21.24;10.848611327344;59.927357114421;295.48
430.61;142;155;119490.93;1214748.12;-0.84;95.29;73.96;21.04;10.848582257069;59.927364102610;295.38
432.41;143;156;119489.31;1214748.89;-0.83;95.32;74.07;20.93;10.848553161768;59.927371065435;295.28
434.21;144;157;119487.68;1214749.66;-0.83;95.29;74.25;20.75;10.848524043230;59.927378001987;295.18
436.01;145;158;119486.05;1214750.42;-0.82;95.31;74.19;20.81;10.848494899667;59.927384911363;295.07
437.81;146;159;119484.42;1214751.18;-0.81;95.26;74.01;20.99;10.848465731079;59.927391792655;294.96
439.61;147;160;119482.78;1214751.94;-0.80;95.27;73.83;21.17;10.848436537466;59.927398648582;294.86
441.41;148;161;119481.15;1214752.69;-0.80;95.26;73.77;21.23;10.848407320615;59.927405478238;294.76
443.21;149;162;119479.51;1214753.44;-0.79;95.27;73.72;21.29;10.848378080526;59.927412281622;294.66
445.01;150;163;119477.88;1214754.19;-0.78;95.25;73.70;21.30;10.848348815413;59.927419057829;294.55
446.81;151;164;119476.24;1214754.93;-0.77;95.23;73.75;21.25;10.848319525274;59.927425805952;294.45
448.61;152;165;119474.60;1214755.68;-0.77;95.24;73.86;21.14;10.848290213685;59.927432531428;294.36
450.41;153;166;119472.96;1214756.42;-0.76;95.24;73.91;21.09;10.848260894946;59.927439248751;294.33
452.21;154;167;119471.32;1214757.16;-0.75;95.21;74.02;20.98;10.848231577994;59.927445966073;294.33
454.01;155;168;119469.68;1214757.90;-0.74;95.21;73.96;21.04;10.848202259255;59.927452683396;294.33
455.81;156;169;119468.04;1214758.64;-0.74;95.19;73.91;21.09;10.848172942304;59.927459401625;294.33
457.61;157;170;119466.40;1214759.38;-0.73;95.15;73.53;21.47;10.848143623565;59.927466118947;294.33
459.41;158;171;119464.76;1214760.12;-0.72;95.13;73.10;21.90;10.848114306613;59.927472836270;294.33
461.21;159;172;119463.12;1214760.87;-0.71;95.11;72.92;22.08;10.848084987874;59.927479553592;294.33
463.01;160;173;119461.48;1214761.61;-0.71;95.11;72.41;22.59;10.848055670923;59.927486271821;294.33
464.81;161;174;119459.84;1214762.35;-0.70;95.12;72.19;22.81;10.848026353971;59.927492989144;294.33
466.61;162;175;119458.20;1214763.09;-0.69;95.10;71.70;23.30;10.847997035232;59.927499706466;294.33
468.41;163;176;119456.56;1214763.83;-0.69;95.11;71.21;23.79;10.847967718281;59.927506423789;294.33
470.21;164;177;119454.91;1214764.57;-0.68;95.09;70.99;24.01;10.847938399542;59.927513142018;294.33
472.01;165;178;119453.27;1214765.32;-0.67;95.13;70.50;24.50;10.847909082590;59.927519859340;294.33
473.81;166;179;119451.63;1214766.06;-0.66;95.14;69.98;25.02;10.847879763851;59.927526576663;294.33
475.61;167;180;119449.99;1214766.80;-0.66;95.08;69.73;25.27;10.847850446899;59.927533293985;294.33
477.41;168;181;119448.35;1214767.54;-0.65;95.05;69.18;25.82;10.847821128160;59.927540012214;294.33
479.21;169;182;119446.71;1214768.28;-0.64;95.06;68.54;26.46;10.847791811209;59.927546729537;294.33
481.01;170;183;119445.07;1214769.02;-0.63;95.02;67.78;27.23;10.847762492470;59.927553446859;294.33
